Component,Channel,Window_ms,Contrast,Mean_NoGo_minus_Go_uV,SD_uV,t,p,Cohens_d
N2,Fz,200–350,NoGo − Go,-0.7237868204422596,1.2177005235428457,-3.145206710669531,0.004012963190989437,-0.5943881984516471
P3,Pz,350–600,NoGo − Go,0.36936624640417176,0.9559397845645006,2.044587423740403,0.05075808520726322,0.3863907040676675
