Measure,Contrast,Mean,SD,t,p,Cohens_d
N2,NoGo − Go,-0.7237868204422596,1.2177005235428457,-3.145206710669531,0.004012963190989437,-0.5943881984516471
P3,NoGo − Go,0.36936624640417176,0.9559397845645006,2.044587423740403,0.05075808520726322,0.3863907040676675
preSMA,NoGo − Go,0.41517483040896963,0.6849733482088088,3.2072761801549596,0.0034363084504573345,0.6061182256136581
IFG,NoGo − Go,0.24263897001895068,0.40958562299413964,3.1346919276616596,0.004119418487019964,0.5924010912424589
ACC,NoGo − Go,0.05150847891478497,0.721022930484589,0.37801467847394055,0.7083753667980084,0.07143805936957771
