ROI,Contrast,Mean,SD,t,p,Cohens_d,p_fdr,significant_fdr
preSMA,NoGo − Go,0.41517483040896963,0.6849733482088088,3.2072761801549596,0.0034363084504573345,0.6061182256136581,0.006179127730529946,True
IFG,NoGo − Go,0.24263897001895068,0.40958562299413964,3.1346919276616596,0.004119418487019964,0.5924010912424589,0.006179127730529946,True
ACC,NoGo − Go,0.05150847891478497,0.721022930484589,0.37801467847394055,0.7083753667980084,0.07143805936957771,0.7083753667980084,False
